Category,Total U.S.b,Total Total,Total Space heating,Total Water heating,Total Air conditioning,Total Refrigerators,Total Other,Total,Space heating,Water heating,Air conditioning,Refrigerators,Other
All homes, 123.53 ,"  9,481 ","  4,026 ","  1,737 ",  866 ,  352 ,"  2,501 ",  76.8 ,  34.4 ,  14.1 ,  7.9 ,  2.9 ,  20.2 
Census region and division,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Northeast, 21.92 ,"  1,956 ","  1,030 ",  351 ,  93 ,  55 ,  427 ,  89.2 ,  47.5 ,  16.1 ,  4.8 ,  2.5 ,  19.5 
New England, 5.88 ,  528 ,  293 ,  91 ,  19 ,  14 ,  110 ,  89.9 ,  50.4 ,  15.7 ,  3.9 ,  2.4 ,  18.8 
Middle Atlantic, 16.04 ,"  1,428 ",  737 ,  260 ,  74 ,  41 ,  316 ,  89.0 ,  46.4 ,  16.2 ,  5.1 ,  2.6 ,  19.7 
Midwest, 27.04 ,"  2,619 ","  1,484 ",  387 ,  131 ,  77 ,  541 ,  96.9 ,  55.4 ,  14.3 ,  5.2 ,  2.9 ,  20.0 
East North Central, 18.55 ,"  1,823 ","  1,054 ",  264 ,  84 ,  52 ,  369 ,  98.3 ,  57.5 ,  14.3 ,  4.9 ,  2.8 ,  19.9 
West North Central, 8.50 ,  796 ,  430 ,  122 ,  47 ,  25 ,  171 ,  93.7 ,  50.9 ,  14.4 ,  5.9 ,  3.0 ,  20.2 
South, 46.84 ,"  3,116 ",  906 ,  561 ,  497 ,  141 ,"  1,011 ",  66.5 ,  20.8 ,  12.0 ,  11.3 ,  3.0 ,  21.6 
South Atlantic, 24.84 ,"  1,584 ",  459 ,  285 ,  248 ,  75 ,  517 ,  63.8 ,  20.6 ,  11.5 ,  10.6 ,  3.0 ,  20.8 
East South Central, 7.38 ,  523 ,  184 ,  91 ,  66 ,  22 ,  160 ,  70.9 ,  25.3 ,  12.3 ,  9.6 ,  3.0 ,  21.7 
West South Central, 14.62 ,"  1,009 ",  263 ,  186 ,  183 ,  44 ,  334 ,  69.0 ,  18.8 ,  12.7 ,  13.2 ,  3.0 ,  22.8 
West, 27.72 ,"  1,790 ",  605 ,  438 ,  145 ,  79 ,  522 ,  64.6 ,  24.1 ,  15.9 ,  7.0 ,  2.9 ,  18.8 
Mountain, 9.22 ,  727 ,  284 ,  140 ,  80 ,  28 ,  196 ,  78.9 ,  32.0 ,  15.3 ,  10.0 ,  3.0 ,  21.3 
Mountain North, 4.62 ,  413 ,  208 ,  80 ,  18 ,  13 ,  93 ,  89.5 ,  45.6 ,  17.5 ,  4.8 ,  2.9 ,  20.1 
Mountain South, 4.60 ,  314 ,  75 ,  60 ,  62 ,  14 ,  103 ,  68.3 ,  17.6 ,  13.0 ,  14.6 ,  3.1 ,  22.5 
Pacific, 18.51 ,"  1,063 ",  322 ,  298 ,  65 ,  52 ,  326 ,  57.4 ,  19.8 ,  16.2 ,  5.2 ,  2.8 ,  17.6 
Census urban/rural classificatione,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
